repo,language,stars,created_at,default_branch,base_commit,commit_date,commit_msg
nuxt/ui,Vue,6466,2021-11-15,v4,9d3c07e038081ff08d444d38106cbbeb39856ab0,2026-04-13,"chore(deps): update tiptap to ^3.22.3 (#6343)"
magicuidesign/magicui,MDX,20698,2023-06-26,main,14d4bb93ab4802bafaaba228e77420281a4de8f8,2026-04-11,"Add Text 3D Flip component (#937)"
recharts/recharts,TypeScript,26977,2015-08-07,main,c619621191d0d828b023913f820620001ee0dd46,2026-04-10,"chore(deps-dev): bump prettier from 3.8.1 to 3.8.2 (#7236)"
callstack/react-native-paper,TypeScript,14332,2016-10-19,main,78b2d75003443b42d9cb3e8a4ef8db70bb70bb9f,2026-03-26,"fix(Menu): defer unmounting Portal until hide animation finishes (#4845) (⚠️ CI未确认)"
honojs/hono,TypeScript,29907,2021-12-14,main,1aa32fb91e7bc1366811d80ebcce61ec0d0c68cb,2026-04-08,"fix(types): infer response type from last handler in app.on 9- and 10-handler ov"
drizzle-team/drizzle-orm,TypeScript,33838,2021-06-24,main,273c78071d4841b497f5144734b38294df7ec64b,2026-03-27,"+ 0.45.2 (#5534) (⚠️ CI未确认)"
go-chi/chi,Go,21972,2015-10-15,master,a54874f0e2f12647a19e82ee70dfa8185014100c,2026-02-19,"Bump minimum Go to 1.23; always use request.Pattern (#1048)"
amacneil/dbmate,Go,6831,2015-11-25,main,2036c594de2cf49e357d14561665f03b7df108c7,2026-04-04,"Update Go dependencies. (#779)"
gofiber/fiber,Go,39573,2020-01-16,main,4acf46569190c58beaa8f34782bdae147be71ec5,2026-04-12,"Update logo image source paths in README"
android/compose-samples,Kotlin,23057,2019-09-27,main,488113f41811abecacd1dee1888b70a4d900416a,2026-04-08,"Update device parameters for DevicePreviews (#1684)"
ktorio/ktor,Kotlin,14347,2015-08-03,main,5913745a96101e8c78e47565e52d2baa8414441f,2026-04-13,"Add ByteArray constructor to InetSocketAddress (#5521)"
google/gson,Java,24246,2015-03-19,main,53d703ee76ca3e951fa4a727307c1f28dbcaf3aa,2026-04-10,"Update outdated comment regarding serializable types (#3012)"
actions/checkout,TypeScript,7764,2019-07-19,main,0c366fd6a839edf440554fa01a7085ccba70ac98,2026-01-09,"Update changelog (#2357)"
